Ë÷Òý,Li1(¡æ)
0,49.1
1,72.6
2,87.6
3,98.0
4,102.2
5,103.4
6,112.3
7,118.6
8,129.5
9,129.0
10,129.9
11,119.3
12,124.9
13,126.1
14,138.7
15,127.4
16,129.0
17,143.3
18,147.6
19,151.6
20,149.7
21,153.6
22,160.9
23,149.6
24,160.2
25,175.9
26,180.3
27,180.5
28,180.2
29,172.9
30,162.7
31,155.6
32,152.3
33,151.6
34,135.2
35,136.1
36,140.7
37,141.2
38,152.4
39,152.7
40,147.7
41,147.8
42,144.5
43,150.6
44,154.4
45,150.0
46,142.2
47,119.2
48,126.9
49,121.5
50,118.1
51,112.5
52,100.5
53,76.4
54,78.2
55,77.1
56,72.4
57,52.4
58,40.6
59,47.7
60,56.1
61,58.5
62,56.1
63,47.8
